"product_name","product_description","total_quantity_ordered","total_income_from_product","total_profit"
"1992 Ferrari 360 Spider red","his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",1808,276840.0,135997.0
"1937 Lincoln Berline","Features opening engine cover, doors, trunk, and fuel filler cap. Color black",1111,102564.0,35215.0
American Airlines: MD-11S,Polished finish. Exact replia with official logos and insignias and retractable wheels,1085,71754.0,32401.0
"1941 Chevrolet Special Deluxe Cabriolet","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",1076,102537.0,33049.0
"1930 Buick Marquette Phaeton","Features opening trunk,  working steering system",1074,41599.0,12537.0
"1940s Ford truck","This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels.",1061,114233.0,24302.0
"1969 Harley Davidson Ultimate Chopper","This replica features working kickstand, front suspension, gear-shift lever, footbrake lever, drive chain, wheels and steering. All parts are particularly delicate due to their precise scale and require special care and attention.",1057,90158.0,38566.0
"1957 Chevy Pickup","1:12 scale die-cast about 20"" long Hood opens, Rubber wheels",1056,109946.0,51127.0
"1964 Mercedes Tour Bus","Exact replica. 100+ parts. working steering system, original logos",1053,117670.0,38842.0
"1956 Porsche 356A Coupe",Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1052,134241.0,30829.0
Corsair F4U ( Bird Cage),Has retractable wheels and comes with a stand. Official logos and insignias.,1051,62270.0,31433.0
F/A 18 Hornet 1/72,"10"" Wingspan with retractable landing gears.Comes with pilot",1047,76618.0,19662.0
"1980s Black Hawk Helicopter","1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",1040,144960.0,64599.0
"1913 Ford Model T Speedster","This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",1038,97194.0,34104.0
"1997 BMW R 1100 S",Detailed scale replica with working suspension and constructed from over 70 parts,1033,105267.0,42398.0
"1972 Alfa Romeo GTA",Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1030,127924.0,39674.0
"1962 Volkswagen Microbus","This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",1029,118774.0,55655.0
"2002 Suzuki XREO","Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",1028,135767.0,67641.0
The USS Constitution Ship,"All wood with canvas sails. Measures 31 1/2"" Length x 22 3/8"" High x 8 1/4"" Width. Extras include 4 boats on deck, sea sprite on bow, anchors, copper railing, pilot houses, etc.",1020,66697.0,32048.0
"2001 Ferrari Enzo",Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1019,190756.0,93350.0
"1960 BSA Gold Star DBD34",Detailed scale replica with working suspension and constructed from over 70 parts,1015,67193.0,29314.0
"1997 BMW F650 ST",Features official die-struck logos and baked enamel finish. Comes with stand.,1014,89365.0,21508.0
"1957 Corvette Convertible","1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.",1013,130749.0,59910.0
"18th century schooner","All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",1011,112427.0,29181.0
"1900s Vintage Tri-Plane",Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,1009,68276.0,31720.0
